Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Reykjavík,101 Reykjavík (Miðborg),65+,male,Sports/Team Sports/Soccer,548,1.0916030534351144,6,0.5,24.214424951267056,0.1389891640407843
Kópavogur,"203 Kópavogur (Kórar, Hvörf, Þing)",25-34,male,News/Sports News,546,6.184210526315789,6,5,32.70954356846473,2.270954356846473
Reykjavík,107 Reykjavík (Vesturbær),25-34,male,[Life Events] Job Change/Starting New Job Soon,546,1.7715736040609138,6,2,17.524291497975707,0.3734011287818089
Reykjavík,105 Reykjavík (Hlíðar),25-34,female,Reference/General Reference/Dictionaries & Encyclopedias,543,-0.03208556149732621,7,0.4,15.666666666666666,-0.22152281036401206
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),45-54,female,Arts & Entertainment/TV & Video/Online Video,542,,4,,13.682186234817813,
Hafnafjörður,221 Hafnarfjörður,18-24,male,Arts & Entertainment/TV & Video/Online Video,541,5.011111111111111,6,2,22.061630218687874,0.72356486083499
Reykjavík,107 Reykjavík (Vesturbær),25-34,male,News/Sports News,531,2.2576687116564416,6,5,22.032454361054768,2.331288719867509
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),35-44,female,Arts & Entertainment/TV & Video/Online Video,529,10.25531914893617,5,4,16.304435483870968,11.077359617682198
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",45-54,female,Arts & Entertainment/TV & Video/Online Video,526,-0.10847457627118644,5,-0.16666666666666666,24.65461847389558,-0.246905204820203
Mosfellsbær,270 Mosfellsbær,25-34,female,Arts & Entertainment/Celebrities & Entertainment News,522,0.6677316293929713,5,0.25,20.354037267080745,0.5358443802496481
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),65+,male,Sports/Team Sports/Soccer,517,5.986486486486487,4,3,33.72899159663866,1.6628151260504205
Hafnafjörður,221 Hafnarfjörður,25-34,male,Arts & Entertainment/TV & Video/Online Video,516,3.914285714285714,6,2,16.25894736842105,-0.5274628727575147
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",45-54,female,Arts & Entertainment/Celebrities & Entertainment News,511,-0.5004887585532747,3,-0.6666666666666666,15.061310782241014,-0.41830534559047494
Suðurland,810 Hveragerði,25-34,male,Arts & Entertainment/TV & Video/Online Video,510,0.14606741573033707,4,0.3333333333333333,21.096109839816933,1.9347574767529527
